lambda,step,response_length_mean,response_length_clip_ratio,critic_score_mean,actor_kl_loss,val_test_score
,1,357.354,0.309,0.382,0.000,
,2,333.650,0.213,0.378,0.000,
,3,265.809,0.057,0.546,0.003,
,4,249.344,0.025,0.573,0.014,
,5,237.965,0.016,0.448,0.029,
,6,186.943,0.010,0.668,0.044,
,7,199.496,0.004,0.480,0.045,
,8,162.832,0.004,0.577,0.068,
,9,141.951,0.002,0.562,0.153,
,10,127.172,0.004,0.414,0.154,
,11,108.975,0.000,0.478,0.155,
,12,105.418,0.002,0.475,0.226,
,13,104.693,0.000,0.418,0.173,
,14,103.656,0.002,0.430,0.222,
