lambda,step,response_length_mean,response_length_clip_ratio,critic_score_mean,actor_kl_loss,val_test_score
,1,342.066,0.271,0.416,0.000,
,2,349.658,0.287,0.438,0.000,
,3,310.609,0.102,0.531,0.030,
,4,321.992,0.115,0.490,0.007,
,5,321.613,0.166,0.525,0.009,
,6,330.029,0.168,0.604,0.016,
,7,320.285,0.172,0.506,0.014,
,8,325.236,0.170,0.537,0.012,
,9,330.555,0.217,0.449,0.012,
,10,312.865,0.186,0.543,0.012,
,11,313.789,0.125,0.592,0.009,
,12,297.529,0.107,0.539,0.007,
,13,289.057,0.098,0.545,0.016,
,14,294.027,0.082,0.545,0.014,
