lambda,step,response_length_mean,response_length_clip_ratio,critic_score_mean,actor_kl_loss,val_test_score
,1,362.168,0.352,0.416,0.000,
,2,339.338,0.270,0.453,0.000,
,3,353.982,0.225,0.533,0.007,
,4,324.934,0.109,0.583,0.020,
,5,340.377,0.117,0.541,0.032,
,6,332.084,0.084,0.632,0.036,
,7,333.391,0.092,0.611,0.045,
,8,358.014,0.125,0.578,0.026,
,9,352.342,0.094,0.642,0.049,
,10,373.043,0.146,0.679,0.045,
,11,406.801,0.254,0.569,0.062,
,12,431.010,0.344,0.480,0.091,
,13,448.361,0.475,0.436,0.059,
,14,465.111,0.533,0.428,0.114,
