lambda,step,response_length_mean,response_length_clip_ratio,critic_score_mean,actor_kl_loss,val_test_score
,1,356.135,0.270,0.334,0.000,
,2,362.555,0.309,0.347,0.000,
,3,257.404,0.023,0.557,0.013,
,4,257.875,0.025,0.612,0.024,
,5,252.217,0.012,0.637,0.035,
,6,245.668,0.016,0.583,0.028,
,7,221.834,0.004,0.512,0.053,
,8,209.738,0.006,0.519,0.032,
,9,183.990,0.008,0.546,0.065,
,10,169.291,0.006,0.448,0.154,
,11,161.898,0.004,0.556,0.122,
,12,131.102,0.000,0.522,0.302,
,13,138.090,0.002,0.565,0.195,
,14,142.445,0.000,0.556,0.358,
,15,129.564,0.002,0.495,0.106,
,16,129.268,0.002,0.562,0.282,
,17,132.168,0.000,0.561,0.243,
,18,120.443,0.000,0.500,0.368,
,19,104.643,0.000,0.433,0.646,
,20,98.922,0.002,0.348,0.343,
,21,90.143,0.000,0.312,0.392,
,22,84.125,0.006,0.328,0.330,
,23,82.186,0.000,0.381,0.518,
,24,80.107,0.002,0.234,0.576,
